"","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp"
"910667","E02002330","E02002467",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910668","E02002330","E02002468",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910669","E02002330","E02002469",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910670","E02002330","E02002472",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910671","E02002330","E02002473",4,0,0,0,0,0,0,4,0,0,0,0,0,0.3,1.2,1.2
"910672","E02002330","E02002474",2,0,0,0,0,0,0,2,0,0,0,0,0,0.3,0.6,0.6
"910673","E02002330","E02002475",1,0,0,0,0,0,0,1,0,0,0,0,0,0.3,0.3,0.3
"910701","E02002330","E02002782",15,0,0,0,0,0,1,13,0,0,0,1,0,0.3,4.5,4.5
"910772","E02002330","E02005769",14,0,0,0,0,0,0,12,1,1,0,0,0,0.3,4.2,3.2
"910775","E02002330","E02005772",34,0,0,0,1,0,0,32,1,0,0,0,0,0.3,10.2,10.2
"910776","E02002330","E02005773",48,0,0,0,0,0,0,43,4,1,0,0,0,0.3,14.4,13.4
"910777","E02002330","E02005774",7,0,0,0,1,0,0,6,0,0,0,0,0,0.3,2.1,2.1
"910778","E02002330","E02005775",59,0,0,0,7,0,0,51,1,0,0,0,0,0.3,17.7,17.7
"910779","E02002330","E02005776",74,0,0,1,0,0,0,59,9,2,3,0,0,0.3,22.2,20.2
"910780","E02002330","E02005777",46,0,0,0,2,0,1,43,0,0,0,0,0,0.3,13.8,13.8
"910781","E02002330","E02005778",11,0,0,0,0,0,0,11,0,0,0,0,0,0.3,3.3,3.3
